Amex Expense Report - Feb 23 to Mar 22 2026
Statement Date: 22 March 2026
Prepared: 3 April 2026
Reviewed by Ben Simpson - April 3 2026
,,,,
SUMMARY,,,,
Opening Balance,$90826.56,,,
Payment Received,$90621.54,,,
Total Debits,$30441.20,,,
Closing Balance,$30404.74,,,
,,,,
Business Total,$17791.04,,,
Personal Total (Ben),$10510.06,,,
Laura Card Total,$2140.10,,,
Clarification Needed,$0.00,,,
,,,,
=== BUSINESS EXPENSES ===,,,,
Date,Merchant,Amount (AUD),Category,Notes
2026-02-22,FACEBK *AVGAYEV6J2,$731.84,Meta Ads,USD 500
2026-02-23,FACEBK *3MF9NE57J2,$731.84,Meta Ads,USD 500
2026-02-23,FACEBK *YDESRFR6J2,$731.84,Meta Ads,USD 500
2026-03-03,FACEBK *MV4B,$41.89,Meta Ads,
2026-03-09,FACEBK *PE7X2H97J2,$64.96,Meta Ads,USD 43.99
2026-03-06,MEGALODON MARKETING,$7356.09,Marketing/Agency,USD 5000 - marketing agency
2026-03-15,CMH MEDIA LLC,$1471.42,Marketing/Agency,Media company - confirmed business
2026-03-02,REPLIT INC.,$32.17,Software/Tools,USD 22 - coding platform
2026-03-01,MANUS AI* TRIAL OVER,$64.29,Software/Tools,AI tool
2026-03-03,LUZERN SOLUTION,$179.95,Software/Tools,E-commerce/marketing platform
2026-02-22,GG VA INFLIGHT FOOD 000 Mascot,$11.00,Travel,Perth work trip - inflight
2026-02-22,HUNTER AND BARREL RAINE Perth,$120.96,Travel,Perth work trip - meal
2026-02-22,CHEMIST WAREHOUSE PERTH,$37.99,Travel,Perth work trip
2026-02-23,THE COFFEE CLUB Perth,$22.56,Travel,Perth work trip
2026-02-23,QT PERTH,$23.35,Travel,Perth - hotel/venue
2026-02-23,LIQUORLAND VASSE 2444,$112.00,Travel,Margaret River/Vasse - work trip
2026-02-24,LITTLE IRIS CAFE Dunsborough,$7.72,Travel,Dunsborough/Margaret River - work trip
2026-02-24,E-VISA VIETNAM (x2),$75.28,Travel,Vietnam visa applications
2026-03-11,VIRGIN AUSTRALIA (MEL-LST),$315.58,Travel,Melbourne to Launceston - business trip
2026-03-11,VIRGIN AUSTRALIA (booking fee),$3.35,Travel,Launceston booking fee
2026-03-11,COUNTRY CLUB CASINO Launceston,$77.09,Travel,Launceston work trip - meal/venue
2026-03-11,COUNTRY CLUB CASINO Launceston,$48.31,Travel,Launceston work trip - meal/venue
2026-03-15,VIRGIN AUSTRALIA,$28.01,Travel,Confirmed business flights
2026-03-15,VIRGIN AUSTRALIA,$806.33,Travel,Confirmed business flights
2026-03-15,VIRGIN AUSTRALIA,$1836.53,Travel,Confirmed business flights
2026-03-15,1COVER Sydney,$288.55,Travel,Business travel insurance
2026-03-06,PACK & SEND ONLINE PTY,$105.06,Professional Services,Shipping/courier
2026-03-06,SECUREPARKINGCOMOCENTRE South Yarra,$50.00,Professional Services,Parking - meeting
2026-02-22,AUSZ Camberwell,$101.98,Vehicle/Transport,Car transport - confirmed business
2026-03-11,AUSZ Camberwell,$122.39,Vehicle/Transport,Car transport - confirmed business
2026-03-12,AUSZ Camberwell,$124.26,Vehicle/Transport,Car transport - confirmed business
2026-03-01,CARWASHCAFE STH YARR,$550.02,Vehicle/Transport,Business vehicle detailing - confirmed
2026-02-25,SAINT HAVEN TOORAK,$315.00,Wellness/Gym,Ben's membership - confirmed business
2026-03-04,SAINT HAVEN TOORAK,$315.00,Wellness/Gym,Ben's membership - confirmed business
2026-03-05,SAINT HAVEN TOORAK,$115.00,Wellness/Gym,Ben's session - confirmed business
2026-03-11,SAINT HAVEN TOORAK,$315.00,Wellness/Gym,Ben's membership - confirmed business
2026-03-18,SAINT HAVEN TOORAK,$315.00,Wellness/Gym,Ben's membership - confirmed business
2026-03-20,SAINT HAVEN TOORAK,$115.00,Wellness/Gym,Ben's session - confirmed business
2026-02-21,MR BIG STUFF PTY LTD Melbourne,$26.43,Meals/Business,Confirmed business
2026-01-29,JB HI-FI PRAHRAN PDA,$217.00,Equipment/Tech,Business equipment - confirmed Apr 3
,,,,
BUSINESS SUBTOTALS,,,,
Meta Ads,$2302.37,,, 
Marketing/Agency,$8827.51,,,
Software/Tools,$276.41,,,
Travel,$3814.61,,,
Professional Services,$155.06,,,
Vehicle/Transport,$898.65,,,
Wellness/Gym,$1490.00,,,
Meals/Other,$26.43,,,
Equipment/Tech,$217.00,,,
BUSINESS TOTAL,$17791.04,,,
,,,,
=== PERSONAL EXPENSES (Ben) ===,,,,
Merchant,Amount (AUD),Category,Notes,
UBER EATS (multiple),$125.00,Food Delivery,Estimate,
YOUFOODZ (multiple),$160.00,Food Delivery,Estimate,
MY MUSCLE CHEF,$100.10,Food Delivery,,
MCDONALDS (x2),$33.00,Food Delivery,Estimate,
COLES,$65.00,Groceries,Estimate,
WW METRO,$55.00,Groceries,Estimate,
BAKER BLEU,$18.00,Groceries,Estimate,
ZLR*ROMEO'S OF TOORAK,$80.39,Groceries,,
HOYTS,$28.00,Entertainment,Estimate,
VILLAGE CINEMAS (x2),$60.00,Entertainment,Estimate,
Rye/Rosebud weekend charges,$200.00,Dining,Estimate,
LS NORAS PIZZA HOUSE Rye,$132.03,Dining,Rye weekend - personal,
INES WINE BAR Windsor,$528.00,Dining,Mar 6 - confirmed personal,
